shapeid,x,y,transit
0,-71.15499963,42.37279858,yes
1,-71.10961063,42.37272485,yes
2,-71.08001008,42.37263733,yes
3,-71.15477937,42.3728911,yes
4,-71.09314563,42.372736,yes
5,-71.10981991,42.37280671,yes
6,-71.09455335,42.3727977,yes
7,-71.09447586,42.37296947,yes
8,-71.08025616,42.37291922,yes
9,-71.11816028,42.37318576,yes
10,-71.09611321,42.37311744,yes
11,-71.09633783,42.37314676,yes
12,-71.1110289,42.37327004,yes
13,-71.10039558,42.37336371,yes
14,-71.12316682,42.37344078,yes
15,-71.09798367,42.37336866,yes
16,-71.12004105,42.37347082,yes
17,-71.09822195,42.37340097,yes
18,-71.12328453,42.37348621,yes
19,-71.10045296,42.3734105,yes
20,-71.11162739,42.37351106,yes
21,-71.15240756,42.37379409,yes
22,-71.15230481,42.37382852,yes
23,-71.10037722,42.37368121,yes
24,-71.0935354,42.35898884,yes
25,-71.14716435,42.35929893,yes
26,-71.09364363,42.35913271,yes
27,-71.11095345,42.35922687,yes
28,-71.10605279,42.35924745,yes
29,-71.110398,42.35973679,yes
30,-71.12859909,42.36015375,yes
31,-71.09478076,42.36020368,yes
32,-71.09472699,42.36023173,yes
33,-71.14644513,42.36045795,yes
34,-71.12895327,42.36042946,yes
35,-71.11857507,42.36069739,yes
36,-71.11864745,42.36076734,yes
37,-71.09576616,42.36070187,yes
38,-71.10440157,42.36080137,yes
39,-71.09591207,42.36078508,yes
40,-71.10898232,42.36100041,yes
41,-71.15849561,42.35386833,yes
42,-71.15817831,42.35401795,yes
43,-71.13641141,42.35398436,yes
44,-71.10468323,42.35400195,yes
45,-71.1414582,42.35420861,yes
46,-71.1503222,42.3542486,yes
47,-71.1358257,42.35422877,yes
48,-71.15028428,42.3543071,yes
49,-71.14176937,42.35429014,yes
50,-71.15848739,42.35480961,yes
51,-71.10514781,42.35486228,yes
52,-71.14514347,42.36159737,yes
53,-71.10842841,42.36151609,yes
54,-71.11346179,42.36169533,yes
55,-71.10825416,42.36168199,yes
56,-71.14400015,42.36181433,yes
57,-71.13039376,42.36187867,yes
58,-71.1006715,42.36180461,yes
59,-71.14329212,42.3619518,yes
60,-71.11448023,42.36193644,yes
61,-71.14180899,42.36222787,yes
62,-71.14135232,42.36231241,yes
63,-71.15338442,42.36238466,yes
64,-71.10748925,42.36236471,yes
65,-71.15609611,42.36263409,yes
66,-71.13980035,42.36258857,yes
67,-71.08625224,42.36243874,yes
68,-71.12144175,42.35189409,yes
69,-71.06720649,42.35171734,yes
70,-71.14167994,42.35203756,yes
71,-71.12542506,42.35214041,yes
72,-71.1235221,42.35214489,yes
73,-71.15146196,42.35238299,yes
74,-71.12622756,42.35235864,yes
75,-71.13192688,42.3523836,yes
76,-71.14056299,42.3524394,yes
77,-71.1609794,42.35263814,yes
78,-71.16069476,42.35266099,yes
79,-71.13031564,42.35273827,yes
80,-71.13030353,42.35284398,yes
81,-71.13216738,42.35295087,yes
82,-71.15960538,42.35306902,yes
83,-71.13848585,42.3531696,yes
84,-71.13452855,42.35323398,yes
85,-71.13388218,42.35327522,yes
86,-71.13798375,42.35335164,yes
87,-71.13667387,42.35343151,yes
88,-71.06430336,42.35322263,yes
89,-71.1380848,42.35367649,yes
90,-71.11186942,42.35590338,yes
91,-71.13150194,42.35598922,yes
92,-71.14953164,42.35625919,yes
93,-71.06934714,42.35603516,yes
94,-71.14153544,42.35632694,yes
95,-71.14862854,42.35689229,yes
96,-71.14574739,42.35694424,yes
97,-71.11348743,42.35692304,yes
98,-71.14563237,42.35704911,yes
99,-71.15282289,42.3571218,yes
100,-71.06579224,42.35700097,yes
101,-71.14836686,42.35733213,yes
102,-71.153824,42.357467,yes
103,-71.1280159,42.35740887,yes
104,-71.10791903,42.3574762,yes
105,-71.09279575,42.35760689,yes
106,-71.12653129,42.35781969,yes
107,-71.06331611,42.3576962,yes
108,-71.15715579,42.35836658,yes
109,-71.15788118,42.35837135,yes
110,-71.11182107,42.35843815,yes
111,-71.1267969,42.35849867,yes
112,-71.12398293,42.35868034,yes
113,-71.12694507,42.35875534,yes
114,-71.15849518,42.35891224,yes
115,-71.12384093,42.35885174,yes
