id,lat,lon,transit
1,42.35925,-71.0627,no
2,42.3589,-71.0607,no
3,42.359245,-71.06387,no
4,42.35811,-71.06221,no
5,42.359383,-71.062325,no
6,42.358986,-71.06422,no
7,42.35921,-71.06118,no
8,42.359264,-71.060326,no
9,42.3591,-71.0628,no
10,42.36093,-71.05922,no
11,42.361485,-71.059494,no
12,42.358707,-71.06394,no
13,42.358284,-71.059845,no
14,42.358395,-71.06222,no
15,42.359455,-71.057686,no
16,42.361023,-71.063835,no
17,42.35864,-71.05753,no
18,42.358646,-71.05739,no
19,42.35903,-71.0592,no
20,42.36098,-71.06262,no
21,42.361004,-71.0647,no
22,42.36102,-71.06327,no
23,42.361023,-71.06318,no
24,42.361023,-71.06309,no
25,42.358482,-71.0627,no
26,42.358616,-71.06271,no
27,42.35894,-71.06279,no
28,42.35892,-71.05763,no
29,42.361023,-71.063965,no
30,42.361027,-71.06361,no
31,42.360203,-71.06378,no
32,42.362396,-71.06431,no
33,42.35817,-71.058105,no
34,42.35902,-71.05956,no
35,42.358788,-71.05846,no
36,42.35823,-71.05772,no
37,42.359364,-71.05914,no
