id,centerlat,centerlon,width,height,population,jobs
0,42.361427,-71.10171,23.7538,4.945913,2.3409448,0.5001266
1,42.361565,-71.10171,23.7538,4.945913,2.3409448,0.5001266
2,42.361706,-71.10171,23.7538,5.0832987,2.4059706,0.51401895
3,42.361843,-71.10171,23.7538,4.945913,2.3409448,0.5001266
4,42.361984,-71.10171,23.7538,5.0832987,2.4059706,0.51401895
5,42.36212,-71.10171,23.7538,4.945913,3.3027656,0.26111853
6,42.36226,-71.10171,23.7538,5.0832987,5.8658533,0.15382692
7,42.3624,-71.10171,23.7538,4.945913,5.8417735,0.1559721
8,42.362537,-71.10171,23.7538,4.945913,6.2092867,0.17319928
9,42.36268,-71.10171,23.7538,5.0832987,6.3817663,0.17801033
10,42.362816,-71.10171,23.7538,4.945913,5.12242,0.121538304
11,42.362953,-71.10171,23.7538,5.0832987,3.9757955,0.06364976
12,42.363094,-71.10171,23.7538,4.945913,3.868342,0.061929494
13,42.36323,-71.10171,23.7538,4.945913,3.868342,0.061929494
14,42.363373,-71.10171,23.7538,5.0832987,2.6256328,0.050138485
15,42.36351,-71.10171,23.7538,4.945913,2.2675865,0.060831584
16,42.363647,-71.10171,23.7538,5.0832987,2.330575,0.06252134
17,42.36379,-71.10171,23.7538,4.945913,2.2675865,0.060831584
18,42.363926,-71.10171,23.7538,5.0832987,3.0701175,0.081009895
19,42.364067,-71.10171,23.7538,4.945913,3.3512828,0.07772774
20,42.364204,-71.10171,23.7538,4.945913,3.3154278,0.07604704
21,42.364346,-71.10171,23.7538,5.0832987,3.407523,0.07815945
22,42.361427,-71.1015,22.905449,4.9459643,2.257363,0.48620316
23,42.361565,-71.1015,22.905449,4.9459643,2.257363,0.48307115
24,42.361706,-71.1015,22.905449,5.0833516,2.3200672,0.49566624
25,42.361843,-71.1015,22.905449,4.9459643,2.257363,0.48226994
26,42.361984,-71.1015,22.905449,5.0833516,2.3200672,0.49566624
27,42.36212,-71.1015,22.905449,4.9459643,3.219194,0.2571473
28,42.36226,-71.1015,22.905449,5.0833516,5.656417,0.14833464
29,42.3624,-71.1015,22.905449,4.9459643,5.6379995,0.15062831
30,42.362537,-71.1015,22.905449,4.9459643,5.987589,0.16701531
31,42.36268,-71.1015,22.905449,5.0833516,6.153909,0.1716546
32,42.362816,-71.1015,22.905449,4.9459643,4.9843163,0.119327776
33,42.362953,-71.1015,22.905449,5.0833516,3.8338425,0.061377183
34,42.363094,-71.1015,22.905449,4.9459643,3.7302256,0.059718348
35,42.36323,-71.1015,22.905449,4.9459643,3.7302256,0.059718348
36,42.363373,-71.1015,22.905449,5.0833516,2.6072347,0.0492753
37,42.36351,-71.1015,22.905449,4.9459643,2.186624,0.058659635
38,42.363647,-71.1015,22.905449,5.0833516,2.2473633,0.060289063
39,42.36379,-71.1015,22.905449,4.9459643,2.186624,0.058659635
40,42.363926,-71.1015,22.905449,5.0833516,2.9869134,0.07877782
41,42.364067,-71.1015,22.905449,4.9459643,3.2329085,0.07501255
42,42.364204,-71.1015,22.905449,4.9459643,3.1970532,0.07333183
43,42.364346,-71.1015,22.905449,5.0833516,3.2858596,0.07536882
44,42.361427,-71.10129,22.905449,4.9460163,6.294288,0.94771665
45,42.361565,-71.10129,22.905449,4.9460163,6.294288,0.92300475
46,42.361706,-71.10129,22.905449,5.083405,6.294288,0.92709905
47,42.361843,-71.10129,22.905449,4.9460163,6.5913315,0.8001473
48,42.361984,-71.10129,22.905449,5.083405,7.7524996,0.751875
49,42.36212,-71.10129,22.905449,4.9460163,8.714341,0.51633406
50,42.36226,-71.10129,22.905449,5.083405,11.088885,0.40453976
51,42.3624,-71.10129,22.905449,4.9460163,11.133172,0.40981397
52,42.362537,-71.10129,22.905449,4.9460163,11.482765,0.42620113
53,42.36268,-71.10129,22.905449,5.083405,10.53323,0.3792529
54,42.362816,-71.10129,22.905449,4.9460163,7.227092,0.22593012
55,42.362953,-71.10129,22.905449,5.083405,3.833883,0.06137783
56,42.363094,-71.10129,22.905449,4.9460163,3.7302651,0.059718978
57,42.36323,-71.10129,22.905449,4.9460163,3.7302651,0.059718978
58,42.363373,-71.10129,22.905449,5.083405,2.484756,0.04668767
59,42.36351,-71.10129,22.905449,4.9460163,1.1313874,0.03636603
60,42.363647,-71.10129,22.905449,5.083405,1.1448332,0.036996305
61,42.36379,-71.10129,22.905449,4.9460163,1.1313874,0.03636603
62,42.363926,-71.10129,22.905449,5.083405,1.8843911,0.055485256
63,42.364067,-71.10129,22.905449,4.9460163,2.1776829,0.052719124
64,42.364204,-71.10129,22.905449,4.9460163,4.2583714,0.06699224
65,42.364346,-71.10129,22.905449,5.083405,5.870224,0.079866804
66,42.361427,-71.10108,23.7538,4.946071,0.0,0.5112556
67,42.361565,-71.10108,23.7538,4.946071,0.0,0.4853941
68,42.361706,-71.10108,23.7538,5.0834618,0.0,0.4923799
69,42.361843,-71.10108,23.7538,4.946071,0.46875602,0.45077345
70,42.361984,-71.10108,23.7538,5.0834618,2.4526827,0.5128719
71,42.36212,-71.10108,23.7538,4.946071,3.3482459,0.25999483
72,42.36226,-71.10108,23.7538,5.0834618,5.9126763,0.15266834
73,42.3624,-71.10108,23.7538,4.946071,5.8873353,0.15484501
74,42.362537,-71.10108,23.7538,4.946071,6.25486,0.17207275
75,42.36268,-71.10108,23.7538,5.0834618,4.6328917,0.09397342
76,42.362816,-71.10108,23.7538,4.946071,3.868466,0.06193148
77,42.362953,-71.10108,23.7538,5.0834618,3.975923,0.06365179
78,42.363094,-71.10108,23.7538,4.946071,3.868466,0.06193148
79,42.36323,-71.10108,23.7538,4.946071,3.868466,0.06193148
80,42.363373,-71.10108,23.7538,5.0834618,2.4312828,0.046032324
81,42.36351,-71.10108,23.7538,4.946071,2.007081,0.11206561
82,42.363647,-71.10108,23.7538,5.0834618,2.8571897,0.16190536
83,42.36379,-71.10108,23.7538,4.946071,2.8432455,0.16125174
