id,centerlat,centerlon,width,height,population,jobs,u,v
0,42.370842,-71.102,21.3098,19.087875,4.862603,0.0830818,0,21
1,42.371014,-71.102,21.309738,19.087875,4.5852504,0.07893357,0,20
2,42.371185,-71.102,21.30968,19.087875,4.418486,0.07614735,0,19
3,42.371357,-71.102,21.309622,19.087875,4.167501,0.06861794,0,18
4,42.371525,-71.102,21.309565,19.087875,3.0536022,0.035201132,0,17
5,42.371696,-71.102,21.309505,19.087875,3.0535936,0.035201035,0,16
6,42.37187,-71.102,21.309446,19.087875,3.053585,0.03520094,0,15
7,42.37204,-71.102,21.30939,19.087875,3.0535774,0.035200845,0,14
8,42.37221,-71.102,21.309334,18.6637,3.0066924,0.034707233,0,13
9,42.372383,-71.102,21.309275,19.087875,3.0535607,0.035200655,0,12
10,42.372555,-71.102,21.309217,19.087875,3.0535524,0.035200562,0,11
11,42.372726,-71.102,21.309158,19.087875,3.053544,0.03520046,0,10
12,42.3729,-71.102,21.309101,19.087875,3.0535357,0.03520037,0,9
13,42.373066,-71.102,21.30904,19.087875,3.0535269,0.035200268,0,8
14,42.373238,-71.102,21.308983,19.087875,3.0535188,0.03520017,0,7
15,42.37341,-71.102,21.308926,19.087875,2.8799345,0.03281142,0,6
16,42.37358,-71.102,21.308867,19.087875,2.1094112,0.022207906,0,5
17,42.373753,-71.102,21.308807,19.087875,3.1995535,0.06424244,0,4
18,42.373924,-71.102,21.308752,18.6637,3.506988,0.099026546,0,3
19,42.374096,-71.102,21.308693,19.087875,3.3006313,0.098038554,0,2
20,42.374268,-71.102,21.308636,19.087875,3.277813,0.15208824,0,1
21,42.37444,-71.102,21.308577,19.087875,4.1119785,0.51173687,0,0
22,42.370842,-71.10174,21.3098,19.087875,6.2928553,0.10361174,1,21
23,42.371014,-71.10174,21.309738,19.087875,5.694008,0.09469782,1,20
24,42.371185,-71.10174,21.30968,19.087875,5.2714434,0.08788529,1,19
25,42.371357,-71.10174,21.309622,19.087875,5.020456,0.08035585,1,18
26,42.371525,-71.10174,21.309565,19.087875,3.9065547,0.046939008,1,17
27,42.371696,-71.10174,21.309505,19.087875,3.9065435,0.04693888,1,16
28,42.37187,-71.10174,21.309446,19.087875,3.9065328,0.046938747,1,15
29,42.37204,-71.10174,21.30939,19.087875,3.9065228,0.046938628,1,14
30,42.37221,-71.10174,21.309334,18.6637,3.8197012,0.045895427,1,13
31,42.372383,-71.10174,21.309275,19.087875,3.9065015,0.04693837,1,12
32,42.372555,-71.10174,21.309217,19.087875,3.906491,0.046938248,1,11
33,42.372726,-71.10174,21.309158,19.087875,3.9064803,0.046938118,1,10
34,42.3729,-71.10174,21.309101,19.087875,3.9064696,0.04693799,1,9
35,42.373066,-71.10174,21.30904,19.087875,3.9064584,0.046937857,1,8
36,42.373238,-71.10174,21.308983,19.087875,3.906448,0.04693773,1,7
37,42.37341,-71.10174,21.308926,19.087875,3.5760465,0.042390943,1,6
38,42.37358,-71.10174,21.308867,19.087875,2.1094112,0.022207906,1,5
39,42.373753,-71.10174,21.308807,19.087875,3.1995535,0.06424244,1,4
40,42.373924,-71.10174,21.308752,18.6637,3.506988,0.099026546,1,3
41,42.374096,-71.10174,21.308693,19.087875,3.3006313,0.098038554,1,2
42,42.374268,-71.10174,21.308636,19.087875,3.277813,0.15208824,1,1
43,42.37444,-71.10174,21.308577,19.087875,4.1119785,0.51173687,1,0
44,42.370842,-71.10147,21.936558,19.087875,6.4779396,0.10665913,2,21
45,42.371014,-71.10147,21.936495,19.087875,5.796195,0.096555315,2,20
46,42.371185,-71.10147,21.936436,19.087875,5.4264855,0.09047015,2,19
47,42.371357,-71.10147,21.936377,19.087875,5.135355,0.081736416,2,18
48,42.371525,-71.10147,21.936317,19.087875,4.0214534,0.04831957,2,17
49,42.371696,-71.10147,21.936256,19.087875,4.0214424,0.04831944,2,16
50,42.37187,-71.10147,21.936195,19.087875,4.021431,0.048319306,2,15
51,42.37204,-71.10147,21.936138,19.087875,4.0214205,0.048319176,2,14
52,42.37221,-71.10147,21.93608,18.6637,3.9320455,0.047245298,2,13
53,42.372383,-71.10147,21.93602,19.087875,4.021399,0.04831892,2,12
54,42.372555,-71.10147,21.935959,19.087875,4.0213876,0.04831878,2,11
55,42.372726,-71.10147,21.9359,19.087875,4.021377,0.048318654,2,10
56,42.3729,-71.10147,21.935839,19.087875,4.0213656,0.04831852,2,9
57,42.373066,-71.10147,21.935778,19.087875,4.0213547,0.048318386,2,8
58,42.373238,-71.10147,21.935719,19.087875,4.0213437,0.048318256,2,7
59,42.37341,-71.10147,21.935658,19.087875,3.6380882,0.043044113,2,6
60,42.37358,-71.10147,21.935598,19.087875,2.171453,0.02286108,2,5
61,42.373753,-71.10147,21.935537,19.087875,4.5272107,0.18638772,2,4
62,42.373924,-71.10147,21.935478,18.6637,5.4181356,0.27211726,2,3
63,42.374096,-71.10147,21.935421,19.087875,5.213931,0.2711929,2,2
64,42.374268,-71.10147,21.93536,19.087875,4.9681835,0.32315773,2,1
65,42.37444,-71.10147,21.9353,19.087875,5.0799456,0.74125445,2,0
66,42.370842,-71.10121,21.3098,19.087875,5.5864725,0.09561494,3,21
67,42.371014,-71.10121,21.309738,19.087875,4.987626,0.08670105,3,20
68,42.371185,-71.10121,21.30968,19.087875,4.565064,0.079888545,3,19
69,42.371357,-71.10121,21.309622,19.087875,4.314078,0.07235913,3,18
70,42.371525,-71.10121,21.309565,19.087875,3.200179,0.038942304,3,17
71,42.371696,-71.10121,21.309505,19.087875,3.2001698,0.038942195,3,16
72,42.37187,-71.10121,21.309446,19.087875,3.200161,0.038942087,3,15
73,42.37204,-71.10121,21.30939,19.087875,3.2001526,0.038941987,3,14
74,42.37221,-71.10121,21.309334,18.6637,3.1346226,0.038139824,3,13
75,42.372383,-71.10121,21.309275,19.087875,3.2001352,0.038941775,3,12
76,42.372555,-71.10121,21.309217,19.087875,3.200127,0.038941674,3,11
77,42.372726,-71.10121,21.309158,19.087875,3.200118,0.038941566,3,10
78,42.3729,-71.10121,21.309101,19.087875,3.2001092,0.03894146,3,9
79,42.373066,-71.10121,21.30904,19.087875,3.2001002,0.038941346,3,8
80,42.373238,-71.10121,21.308983,19.087875,3.2000916,0.03894124,3,7
81,42.37341,-71.10121,21.308926,19.087875,2.8696918,0.034394473,3,6
82,42.37358,-71.10121,21.308867,19.087875,1.4030588,0.014211461,3,5
83,42.373753,-71.10121,21.308807,19.087875,3.8124459,0.17992505,3,4
84,42.373924,-71.10121,21.308752,18.6637,5.0537977,0.26090115,3,3
85,42.374096,-71.10121,21.308693,19.087875,5.0917935,0.26596,3,2
86,42.374268,-71.10121,21.308636,19.087875,4.8845687,0.3153805,3,1
87,42.37444,-71.10121,21.308577,19.087875,4.7461247,0.70391726,3,0
88,42.370842,-71.10095,21.936558,19.087875,6.152922,0.10663375,4,21
89,42.371014,-71.10095,21.936495,19.087875,4.541672,0.08002982,4,20
90,42.371185,-71.10095,21.936436,19.087875,4.1719666,0.0739447,4,19
91,42.371357,-71.10095,21.936377,19.087875,4.12416,0.07251064,4,18
92,42.371525,-71.10095,21.936317,19.087875,3.94127,0.06702409,4,17
93,42.371696,-71.10095,21.936256,19.087875,3.9412594,0.0670239,4,16
94,42.37187,-71.10095,21.936195,19.087875,3.9412484,0.06702372,4,15
95,42.37204,-71.10095,21.936138,19.087875,3.941238,0.06702354,4,14
96,42.37221,-71.10095,21.93608,18.6637,3.9059052,0.06791876,4,13
97,42.372383,-71.10095,21.93602,19.087875,4.000552,0.07020187,4,12
98,42.372555,-71.10095,21.935959,19.087875,4.000541,0.07020168,4,11
99,42.372726,-71.10095,21.9359,19.087875,4.0005307,0.07020149,4,10
100,42.3729,-71.10095,21.935839,19.087875,3.339781,0.048418716,4,9
101,42.373066,-71.10095,21.935778,19.087875,3.0944974,0.040332604,4,8
102,42.373238,-71.10095,21.935719,19.087875,3.0944889,0.040332496,4,7
103,42.37341,-71.10095,21.935658,19.087875,2.711236,0.03505838,4,6
104,42.37358,-71.10095,21.935598,19.087875,1.2446032,0.014875365,4,5
105,42.373753,-71.10095,21.935537,19.087875,3.6648133,0.18074098,4,4
106,42.373924,-71.10095,21.935478,18.6637,5.3728113,0.27505717,4,3
107,42.374096,-71.10095,21.935421,19.087875,5.4137716,0.27889782,4,2
108,42.374268,-71.10095,21.93536,19.087875,4.894333,0.29993322,4,1
109,42.37444,-71.10095,21.9353,19.087875,3.0620036,0.47265604,4,0
110,42.370842,-71.100685,21.3098,19.087875,5.9521685,0.10060236,5,21
111,42.371014,-71.100685,21.309738,19.087875,4.264586,0.0723618,5,20
112,42.371185,-71.100685,21.30968,19.087875,3.8420258,0.06554933,5,19
113,42.371357,-71.100685,21.309622,19.087875,3.842015,0.06554914,5,18
114,42.371525,-71.100685,21.309565,19.087875,3.8420048,0.065548964,5,17
115,42.371696,-71.100685,21.309505,19.087875,3.8419938,0.065548785,5,16
116,42.37187,-71.100685,21.309446,19.087875,3.841983,0.0655486,5,15
117,42.37204,-71.100685,21.30939,19.087875,3.8419733,0.065548435,5,14
118,42.37221,-71.100685,21.309334,18.6637,4.07548,0.08117522,5,13
119,42.372383,-71.100685,21.309275,19.087875,4.427108,0.09689569,5,12
120,42.372555,-71.100685,21.309217,19.087875,4.427096,0.09689543,5,11
121,42.372726,-71.100685,21.309158,19.087875,4.427084,0.09689516,5,10
122,42.3729,-71.100685,21.309101,19.087875,3.7825956,0.075648434,5,9
123,42.373066,-71.100685,21.30904,19.087875,3.5335922,0.06743967,5,8
124,42.373238,-71.100685,21.308983,19.087875,3.5335827,0.06743948,5,7
125,42.37341,-71.100685,21.308926,19.087875,3.2031822,0.062892646,5,6
126,42.37358,-71.100685,21.308867,19.087875,1.736548,0.04270955,5,5
127,42.373753,-71.100685,21.308807,19.087875,2.2285256,0.14334224,5,4
128,42.373924,-71.100685,21.308752,18.6637,1.7513635,0.16419032,5,3
129,42.374096,-71.100685,21.308693,19.087875,1.7911623,0.16792145,5,2
130,42.374268,-71.100685,21.308636,19.087875,1.9807446,0.1992121,5,1
131,42.37444,-71.100685,21.308577,19.087875,1.9761071,0.32106927,5,0
132,42.370842,-71.100426,21.3098,19.087875,4.838523,0.08961244,6,21
133,42.371014,-71.100426,21.309738,19.087875,3.150944,0.061371904,6,20
134,42.371185,-71.100426,21.30968,19.087875,2.7283866,0.05455947,6,19
135,42.371357,-71.100426,21.309622,19.087875,2.7283792,0.054559316,6,18
136,42.371525,-71.100426,21.309565,19.087875,2.7283719,0.05455917,6,17
137,42.371696,-71.100426,21.309505,19.087875,2.7283642,0.05455902,6,16
138,42.37187,-71.100426,21.309446,19.087875,2.7283566,0.054558862,6,15
139,42.37204,-71.100426,21.30939,19.087875,2.7283494,0.054558724,6,14
140,42.37221,-71.100426,21.309334,18.6637,2.9874465,0.07043804,6,13
141,42.372383,-71.100426,21.309275,19.087875,3.3134902,0.085906036,6,12
142,42.372555,-71.100426,21.309217,19.087875,3.313481,0.085905805,6,11
143,42.372726,-71.100426,21.309158,19.087875,3.313472,0.08590557,6,10
144,42.3729,-71.100426,21.309101,19.087875,2.668987,0.06465887,6,9
145,42.373066,-71.100426,21.30904,19.087875,2.4199867,0.056450143,6,8
146,42.373238,-71.100426,21.308983,19.087875,2.41998,0.056449987,6,7
147,42.37341,-71.100426,21.308926,19.087875,2.0895827,0.051903173,6,6
148,42.37358,-71.100426,21.308867,19.087875,1.7065098,0.10731721,6,5
149,42.373753,-71.100426,21.308807,19.087875,3.4429283,0.2609061,6,4
150,42.373924,-71.100426,21.308752,18.6637,3.5638704,0.28390318,6,3
151,42.374096,-71.100426,21.308693,19.087875,3.5638604,0.2839024,6,2
152,42.374268,-71.100426,21.308636,19.087875,3.7534385,0.31519276,6,1
153,42.37444,-71.100426,21.308577,19.087875,2.7220616,0.5436786,6,0
154,42.370842,-71.10016,21.936558,19.087875,4.866626,0.090674564,7,21
155,42.371014,-71.10016,21.936495,19.087875,3.1143172,0.061504893,7,20
156,42.371185,-71.10016,21.936436,19.087875,2.7697124,0.055780068,7,19
157,42.371357,-71.10016,21.936377,19.087875,2.7697048,0.05577992,7,18
158,42.371525,-71.10016,21.936317,19.087875,2.7696974,0.05577977,7,17
159,42.371696,-71.10016,21.936256,19.087875,2.76969,0.055779617,7,16
160,42.37187,-71.10016,21.936195,19.087875,2.7696822,0.055779457,7,15
161,42.37204,-71.10016,21.936138,19.087875,2.7696748,0.055779308,7,14
162,42.37221,-71.10016,21.93608,18.6637,3.027013,0.07162321,7,13
163,42.372383,-71.10016,21.93602,19.087875,3.372026,0.088048615,7,12
164,42.372555,-71.10016,21.935959,19.087875,3.3720167,0.088048376,7,11
165,42.372726,-71.10016,21.9359,19.087875,3.3720074,0.08804813,7,10
166,42.3729,-71.10016,21.935839,19.087875,2.7012434,0.0659351,7,9
167,42.373066,-71.10016,21.935778,19.087875,2.4522433,0.05772637,7,8
168,42.373238,-71.10016,21.935719,19.087875,2.4522367,0.05772621,7,7
169,42.37341,-71.10016,21.935658,19.087875,2.0689855,0.052452043,7,6
170,42.37358,-71.10016,21.935598,19.087875,1.7809632,0.11449751,7,5
171,42.373753,-71.10016,21.935537,19.087875,2.5888324,0.17665458,7,4
172,42.373924,-71.10016,21.935478,18.6637,2.2921267,0.1599158,7,3
173,42.374096,-71.10016,21.935421,19.087875,2.3442142,0.16354983,7,2
174,42.374268,-71.10016,21.93536,19.087875,2.533795,0.19484046,7,1
175,42.37444,-71.10016,21.9353,19.087875,3.6671019,1.0209162,7,0
176,42.370842,-71.0999,21.3098,19.087875,4.590689,0.10632078,8,21
177,42.371014,-71.0999,21.309738,19.087875,4.0833526,0.0949949,8,20
178,42.371185,-71.0999,21.30968,19.087875,5.449193,0.11379077,8,19
179,42.371357,-71.0999,21.309622,19.087875,5.4491777,0.11379045,8,18
180,42.371525,-71.0999,21.309565,19.087875,4.597181,0.10286729,8,17
181,42.371696,-71.0999,21.309505,19.087875,4.2680154,0.0986471,8,16
182,42.37187,-71.0999,21.309446,19.087875,4.2680035,0.09864682,8,15
183,42.37204,-71.0999,21.30939,19.087875,4.267992,0.098646566,8,14
184,42.37221,-71.0999,21.309334,18.6637,3.594319,0.086183235,8,13
185,42.372383,-71.0999,21.309275,19.087875,3.4258573,0.08759956,8,12
186,42.372555,-71.0999,21.309217,19.087875,3.4258478,0.08759933,8,11
187,42.372726,-71.0999,21.309158,19.087875,3.4258382,0.087599084,8,10
188,42.3729,-71.0999,21.309101,19.087875,2.7813532,0.06635238,8,9
189,42.373066,-71.0999,21.30904,19.087875,2.5323524,0.058143646,8,8
190,42.373238,-71.0999,21.308983,19.087875,2.5323455,0.058143485,8,7
191,42.37341,-71.0999,21.308926,19.087875,2.1743379,0.05321671,8,6
192,42.37358,-71.0999,21.308867,19.087875,1.7637532,0.11357554,8,5
193,42.373753,-71.0999,21.308807,19.087875,2.5218549,0.1719817,8,4
194,42.373924,-71.0999,21.308752,18.6637,2.2266374,0.1553468,8,3
195,42.374096,-71.0999,21.308693,19.087875,2.2772365,0.15887696,8,2
196,42.374268,-71.0999,21.308636,19.087875,2.407952,0.18045197,8,1
197,42.37444,-71.0999,21.308577,19.087875,3.019652,0.9140556,8,0
198,42.370842,-71.09964,21.3098,19.087875,5.594463,0.13178581,9,21
199,42.371014,-71.09964,21.309738,19.087875,4.505712,0.112458766,9,20
200,42.371185,-71.09964,21.30968,19.087875,4.5056996,0.11245847,9,19
201,42.371357,-71.09964,21.309622,19.087875,4.505687,0.112458155,9,18
202,42.371525,-71.09964,21.309565,19.087875,3.4678326,0.09915217,9,17
203,42.371696,-71.09964,21.309505,19.087875,3.066866,0.094011426,9,16
204,42.37187,-71.09964,21.309446,19.087875,3.0668573,0.09401116,9,15
205,42.37204,-71.09964,21.30939,19.087875,3.0668492,0.09401091,9,14
